,English,Santali
131275842,"Under the leadership of Amar Singh Thapa, the Nepali army laid siege to Kangra.",ᱚᱢᱚᱨ ᱥᱤᱝᱦᱚ ᱛᱷᱟᱯᱟ ᱟᱜ ᱟᱹᱭᱩᱨ ᱛᱮ ᱱᱮᱯᱟᱞᱤ ᱥᱮᱱᱟ ᱠᱟᱝᱲᱟ ᱰᱟᱦᱟᱨ ᱠᱚ ᱡᱟᱸᱜᱮ ᱞᱮᱫᱟ ᱾
131285842,"Verma provides communications, PR and marketing consulting for media companies, brands, corporations and universities.","ᱵᱷᱟᱨᱢᱟ ᱢᱤᱰᱤᱭᱟ ᱠᱳᱢᱯᱟᱱᱤ, ᱵᱮᱨᱟᱱᱰ, ᱠᱚᱨᱯᱳᱨᱮᱥᱚᱱ ᱟᱨ ᱡᱮᱜᱮᱫ ᱵᱤᱫᱽᱫᱟᱹᱜᱟᱲ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱡᱳᱜᱟᱡᱳᱜ, ᱦᱚᱲ ᱥᱟᱹᱜᱟᱹᱭ ᱟᱨ ᱵᱮᱯᱟᱨ ᱫᱤᱥ ᱦᱩᱫᱤᱥ ᱮᱢ ᱟᱭ ᱾"
131295842,Video of the event has been released by a lawyer for the child's mother.,ᱜᱤᱫᱽᱨᱟᱹ ᱨᱮᱱ ᱟᱡ ᱟᱭᱳ ᱢᱤᱫ ᱟᱭᱤᱱᱡᱤᱵᱤ ᱜᱷᱚᱴᱚᱱ ᱨᱮᱭᱟᱜ ᱵᱷᱤᱰᱤᱭᱳᱭ ᱥᱚᱫᱚᱨ ᱞᱮᱫᱟ ᱾
131305842,Vinod Mehra was born in Amritsar in 1945.,ᱵᱤᱱᱳᱫᱽ ᱢᱮᱦᱨᱟ ᱑᱙᱔᱕ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱚᱢᱨᱤᱛᱥᱚᱨ ᱨᱮ ᱡᱟᱱᱟᱢ ᱞᱮᱱᱟᱭ ᱾
131315842,Vishnu said to the deities that years had passed on earth.,"ᱵᱤᱥᱱᱩ ᱵᱚᱸᱜᱟ ᱵᱩᱨᱩ ᱠᱚᱭ ᱞᱟᱹᱭᱼᱟᱫ ᱠᱚᱶᱟ ᱡᱮ , ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮ ᱟᱹᱰᱤ ᱥᱮᱨᱢᱟ ᱯᱚᱞᱚᱢ ᱟᱠᱟᱱᱟ ᱾"
131325842,Vishnu said to the deities that years had passed on earth.,"ᱵᱤᱥᱱᱩ ᱵᱚᱸᱜᱟ ᱵᱩᱨᱩ ᱠᱚᱭ ᱞᱟᱹᱭᱼᱟᱫ ᱠᱚᱶᱟ ᱡᱮ , ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮ ᱟᱹᱰᱤ ᱥᱮᱨᱢᱟ ᱯᱚᱞᱚᱢ ᱟᱠᱟᱱᱟ ᱾"
131335842,"Vishnu, who was pleased, named the goddess 'Ekadashi' and asked her to claim a boon.",ᱵᱤᱥᱱᱩ ᱨᱟᱹᱥᱠᱟᱹ ᱠᱟᱛᱮᱫ ᱫᱮᱵᱤ ᱫᱚ 'ᱮᱠᱟᱫᱚᱥᱤ' ᱧᱩᱛᱩᱢ ᱮ ᱮᱢᱟᱫᱮ ᱛᱟᱦᱮᱸ ᱟᱨ ᱩᱱᱤ ᱵᱚᱨ ᱦᱟᱛᱟᱣ ᱮ ᱢᱮᱛᱟᱫᱮ ᱛᱟᱦᱮᱸ ᱾
131345842,"West Bengal includes the Darjeeling Himalayan hill region, the Ganges delta, the Rarh region, the coastal Sundarbans, and the Bay of Bengal.","ᱯᱚᱪᱷᱤᱢ ᱵᱟᱝᱞᱟ ᱢᱩᱫᱽᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱫᱟᱨᱡᱤᱞᱤᱝ ᱦᱤᱢᱟᱞᱚᱭ ᱨᱟᱛᱟᱝ ᱵᱩᱨᱩ ᱴᱚᱴᱷᱟ, ᱜᱟᱝᱜᱮᱭᱚ ᱵᱚᱼᱰᱷᱤᱯ, ᱨᱟᱲ ᱴᱚᱴᱷᱟ, ᱥᱩᱱᱫᱚᱨᱵᱚᱱ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱢᱩᱫᱽ ᱴᱚᱴᱷᱟ ᱟᱨ ᱵᱟᱝᱞᱟ ᱥᱟᱸᱜᱟ ᱥᱟᱹᱢᱩᱫᱽ ᱾"
131355842,"West Bengal includes the Darjeeling Himalayan hill region, the Ganges delta, the Rarh region, the coastal Sundarbans, and the Bay of Bengal.","ᱯᱚᱪᱷᱤᱢ ᱵᱟᱝᱞᱟ ᱢᱩᱫᱽᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱫᱟᱨᱡᱤᱞᱤᱝ ᱦᱤᱢᱟᱞᱚᱭ ᱨᱟᱛᱟᱝ ᱵᱩᱨᱩ ᱴᱚᱴᱷᱟ, ᱜᱟᱝᱜᱮᱭᱚ ᱵᱚᱼᱰᱷᱤᱯ, ᱨᱟᱲ ᱴᱚᱴᱷᱟ, ᱥᱩᱱᱫᱚᱨᱵᱚᱱ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱢᱩᱫᱽ ᱴᱚᱴᱷᱟ ᱟᱨ ᱵᱟᱝᱞᱟ ᱥᱟᱸᱜᱟ ᱥᱟᱹᱢᱩᱫᱽ ᱾"
131365842,"West Bengal is religiously diverse, with regional, cultural, and religious specificities.","ᱴᱚᱴᱷᱟᱠᱤᱭᱟᱹ, ᱞᱟᱠᱪᱟᱨ ᱟᱱᱟᱜ ᱟᱨ ᱫᱷᱚᱨᱚᱢ ᱟᱱ ᱩᱨᱜᱟᱹᱱ ᱥᱟᱞᱟᱜ ᱯᱚᱪᱷᱤᱢ ᱵᱟᱝᱞᱟ ᱫᱷᱚᱨᱚᱢ ᱟᱱ ᱞᱮᱠᱟᱛᱮ ᱦᱩᱱᱟᱹᱨᱟᱱ ᱾"
131375842,"When the legislative assembly called Praja Sabha was established in 1934, Ladakh was given two nominated seats in the assembly.","᱑᱙᱓᱔ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱯᱨᱚᱡᱟ ᱥᱚᱵᱷᱟ ᱧᱩᱛᱩᱢᱛᱮ ᱟᱹᱭᱤᱱ ᱵᱟᱹᱭᱥᱤ ᱛᱷᱟᱯᱚᱱ ᱦᱩᱭᱮᱱ ᱠᱷᱟᱱ, ᱞᱟᱫᱟᱠᱷ ᱫᱚ ᱵᱤᱫᱷᱟᱱᱥᱚᱵᱷᱟ ᱨᱮ ᱵᱟᱨᱭᱟ ᱠᱚᱴᱟᱵ ᱵᱟᱪᱷᱟᱣ ᱟᱥᱚᱱ ᱮᱢᱦᱩᱭ ᱞᱮᱱᱟ ᱾"
131385842,While days get slightly warmer; the nights continue to be cool.,"ᱡᱚᱠᱷᱚᱱ ᱫᱤᱱ ᱠᱚ ᱱᱟᱥᱮᱱᱟᱜ ᱩᱨᱜᱩᱢᱚᱜᱼᱟ , ᱩᱱ ᱫᱚ ᱧᱤᱫᱟᱹ ᱠᱚᱫᱚ ᱨᱮᱭᱟᱲᱚᱜᱼᱟ ᱾"
131395842,"With its many elliptical pylons and ramps that lead to the upper tiers, it adds to the futuristic look of the area that houses seven other smaller stadiums.","ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱟᱭᱢᱟᱜᱚᱴᱟᱝ ᱩᱯᱚᱵᱤᱛᱛᱟᱠᱟᱨ ᱛᱚᱨᱚᱱ ᱟᱨ ᱚᱵᱚᱛᱚᱨᱚᱱ ᱥᱟᱶᱛᱮ ᱡᱟᱦᱟᱸ ᱪᱮᱛᱟᱱ ᱛᱷᱟᱨ ᱨᱮᱭ ᱤᱫᱤᱭᱟ, ᱱᱚᱶᱟ ᱫᱚ ᱚᱱᱟ ᱴᱚᱴᱷᱟ ᱨᱮᱭᱟᱜ ᱟᱜᱟᱢ ᱨᱮᱭᱟᱜ ᱪᱮᱦᱟᱨᱟᱭ ᱥᱟᱵ ᱨᱟᱠᱟᱵ ᱠᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱨᱮ ᱟᱨᱦᱚᱸ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱜ ᱠᱟᱹᱴᱤᱡ ᱥᱴᱮᱰᱤᱭᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
131405842,"With over 91 million inhabitants, it is the fourth-most populous state and the fourteenth-largest state by area in India.","᱙ᱹ᱑ ᱠᱳᱴᱤ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱦᱚᱲᱮᱞᱮᱠ ᱥᱟᱶᱛᱮ, ᱱᱚᱶᱟ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱯᱩᱱᱟᱱ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱥᱟᱸᱜᱮᱦᱚᱲ ᱯᱚᱱᱚᱛ ᱟᱨ ᱟᱭᱚᱛᱚᱱ ᱥᱮᱪ ᱛᱮ ᱯᱩᱱᱟᱜ ᱞᱟᱹᱴᱩ ᱯᱚᱱᱚᱛ ᱾"
131415842,"Within two business days all information that you submitted is forwarded to the business, who will then have 14 days to respond.","ᱵᱟᱨᱭᱟ ᱠᱟᱢᱤ ᱫᱤᱱ ᱢᱩᱫᱽ ᱨᱮᱜᱮ ᱟᱢᱟᱜ ᱮᱢ ᱥᱟᱱᱟᱢ ᱛᱚᱛᱛᱷᱚ ᱵᱮᱯᱟᱨᱤ ᱨᱮᱭᱟᱜ ᱛᱷᱟᱹᱯᱱᱤᱛ ᱴᱷᱮᱱ ᱠᱳᱞ ᱦᱩᱭᱩᱜᱼᱟ, ᱡᱟᱦᱟᱸᱭ ᱴᱷᱮᱱ ᱩᱱ ᱱᱚᱶᱟ ᱛᱮᱞᱟ ᱵᱟᱰᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱑᱔ ᱢᱟᱦᱟ ᱚᱠᱛᱚ ᱛᱟᱦᱮᱱᱟ ᱾"
131425842,"Women who participated in the hazardous and rare protest defied customs; some wore jeans, others uncovered their faces.","ᱵᱟᱹᱲᱤᱡ ᱦᱟᱞᱚᱛ ᱦᱳᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱱᱚᱝᱠᱟᱱ ᱨᱟᱸᱜᱟᱣᱱᱟ ᱨᱮ ᱛᱤᱨᱞᱟᱹ ᱠᱚᱫᱚ ᱱᱚᱶᱟ ᱯᱨᱚᱛᱷᱟ ᱵᱟᱝᱠᱚ ᱥᱤᱠᱟᱹᱨ ᱞᱮᱫ ᱛᱟᱦᱮᱫ, ᱩᱱᱠᱩ ᱢᱩᱫᱽ ᱨᱮ ᱢᱤᱫᱵᱟᱨ ᱦᱚᱲ ᱫᱚ ᱡᱤᱱᱥ ᱠᱚ ᱦᱚᱨᱚᱜ ᱞᱮᱫᱟ, ᱚᱠᱚᱭ ᱠᱚᱫᱚ ᱢᱮᱫᱦᱟ ᱠᱷᱩᱞᱟᱹᱣ ᱨᱮᱜᱮ ᱠᱚ ᱫᱚᱦᱚ ᱞᱮᱫᱟ ᱾"
131435842,You can change what you include in the open space depending on the guests you want to attract.,ᱡᱟᱸᱦᱟᱭ ᱯᱮᱲᱟ ᱠᱚ ᱠᱩᱥᱤ ᱦᱚᱪᱚᱢ ᱠᱷᱚᱡᱽ ᱠᱷᱟᱱ ᱚᱱᱟ ᱪᱮᱛᱟᱱ ᱴᱮᱸᱦᱟᱴ ᱠᱟᱛᱮᱫ ᱟᱢ ᱵᱟᱨᱦᱮ ᱠᱚᱨᱮ ᱡᱟᱦᱟᱸᱢ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱫᱟ ᱚᱱᱟᱢ ᱵᱚᱫᱚᱞ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾
131445842,You can usually access the database through the website of your state's secretary of state.,ᱟᱢ ᱟᱢᱨᱮᱱ ᱯᱚᱱᱚᱛ ᱥᱚᱪᱤᱵᱽ ᱟᱜ ᱳᱭᱮᱵᱥᱟᱭᱤᱴ ᱛᱟᱞᱟᱛᱮ ᱱᱚᱶᱟ ᱰᱮᱴᱟᱵᱮᱥ ᱨᱮᱢ ᱵᱚᱞᱚ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
131455842,You could also run these under the same LLC.,ᱟᱢ ᱱᱚᱶᱟ ᱠᱚᱦᱚᱸ ᱢᱤᱫ ᱮᱞ ᱮᱞ ᱥᱤ ᱨᱮᱭᱟᱜ ᱟᱣᱛᱟ ᱨᱮᱢ ᱪᱟᱞᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
131465842,"You should then send out applications to several positions you think will be a good fit for you, based on your resume and your qualifications.",ᱚᱱᱟᱛᱟᱭᱚᱢ ᱟᱢᱟᱜ ᱡᱤᱭᱚᱱᱪᱩᱨᱤᱛ ᱟᱨ ᱟᱢᱟᱜ ᱡᱳᱜᱢᱟᱱ ᱪᱮᱛᱟᱱ ᱴᱮᱸᱦᱟᱴ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱢᱮᱱᱛᱮᱢ ᱢᱚᱱᱮᱭᱟ ᱮᱢᱚᱱ ᱵᱮᱥ ᱛᱤᱱᱟᱹᱜ ᱯᱚᱫ ᱨᱮᱭ ᱟᱨᱫᱟᱥ ᱥᱟᱠᱟᱢ ᱠᱳᱞ ᱢᱮ ᱾
131475842,Your attorney would typically not be able to tell anyone else anything that you said.,ᱟᱢᱨᱮᱱ ᱮᱴᱚᱨᱱᱤ ᱥᱟᱫᱷᱟᱨᱚᱱᱛᱚ ᱟᱢ ᱡᱟᱦᱟᱸᱢ ᱞᱟᱹᱭ ᱟᱠᱟᱫᱟ ᱚᱱᱟ ᱮᱴᱟᱜ ᱡᱟᱦᱟᱸᱭ ᱵᱟᱭ ᱞᱟᱹᱭ ᱫᱟᱲᱮᱭᱟᱠᱚᱣᱟ ᱾
131485842,Your business registered agent accepts documents for your business in the event of a lawsuit or other legal procedure.,ᱟᱢᱟᱜ ᱵᱮᱯᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱸᱜᱚᱪᱟᱱ ᱢᱟᱲᱛᱮ ᱡᱟᱦᱟᱱ ᱢᱟᱢᱞᱟ ᱥᱮ ᱮᱴᱟᱜ ᱟᱹᱱ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱨᱮ ᱟᱢᱟᱜ ᱵᱮᱯᱟᱨ ᱦᱩᱭᱟᱹᱛᱮ ᱚᱞᱛᱚᱞ ᱠᱚᱭ ᱟᱛᱟᱝ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
131495842,"If they don't, they may be able to recommend someone who does.","ᱡᱚᱫᱤ ᱩᱱᱠᱩ ᱵᱟᱠᱚ ᱠᱚᱨᱟᱣᱼᱟ, ᱩᱱᱠᱩ ᱱᱚᱝᱠᱟ ᱡᱟᱦᱟᱸᱭ ᱠᱚ ᱥᱩᱯᱟᱹᱨᱤᱥ ᱫᱟᱲᱮ ᱟᱭᱟ ᱡᱟᱦᱟᱸᱭ ᱮ ᱠᱚᱨᱟᱣᱼᱟ ᱾"
131505842,Malaysia Vasudevan performed each song with utmost sincerity and surprised everyone with the range he had.,ᱢᱟᱞᱭᱮᱥᱤᱭᱟ ᱵᱟᱥᱩᱫᱮᱵᱚᱱ ᱟᱹᱰᱤ ᱜᱟᱹᱦᱤᱨ ᱥᱟᱞᱟᱜ ᱡᱷᱚᱛᱚ ᱥᱮᱨᱮᱧ ᱮ ᱥᱮᱨᱮᱧᱼᱟ ᱟᱨ ᱟᱡᱟᱜ ᱨᱟᱦᱟ ᱟᱲᱟᱝ ᱯᱟᱥᱱᱟᱶ ᱟᱛᱮ ᱥᱟᱱᱟᱢ ᱠᱚᱭ ᱦᱟᱦᱟᱲᱟ ᱦᱚᱪᱚ ᱞᱮᱫᱠᱚᱶᱟ ᱾
131515842,Carmel College for Women is affiliated with Goa University.,ᱠᱟᱨᱢᱮᱞ ᱠᱚᱞᱮᱡ ᱯᱷᱚᱨ ᱩᱭᱢᱮᱱ ᱜᱳᱣᱟ ᱡᱮᱜᱮᱫ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131525842,"Depending on your state's procedures, you'll file the form online, in person, or by mail.","ᱟᱢᱟᱜ ᱯᱚᱱᱚᱛ ᱨᱮ ᱫᱷᱟᱨᱟ ᱪᱮᱛᱟᱱ ᱴᱮᱸᱦᱟᱴ ᱠᱟᱛᱮ ᱟᱢ ᱚᱱᱞᱟᱤᱱ ᱨᱮ, ᱪᱟᱞᱟᱣ ᱠᱟᱛᱮ ᱵᱟᱝ ᱠᱷᱟᱱ ᱢᱮᱞ ᱛᱟᱞᱟᱛᱮ ᱯᱷᱚᱨᱢ ᱦᱟᱢᱮᱴ ᱢᱮ ᱾"
131535842,"In Bundelkhand, Chhatrasal rebelled against the Mughal Empire and established an independent kingdom.",ᱵᱩᱱᱫᱮᱞ ᱠᱷᱚᱱᱰᱚ ᱨᱮ ᱪᱷᱚᱛᱛᱨᱚ ᱥᱟᱞ ᱢᱩᱜᱷᱚᱞ ᱨᱟᱡᱽᱯᱚᱱᱚᱛ ᱵᱤᱨᱩᱫᱷ ᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱮᱫᱟ ᱟᱨ ᱢᱤᱫᱴᱟᱝ ᱯᱷᱩᱨᱜᱟᱹᱞ ᱯᱚᱱᱚᱛ ᱠᱚ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱫᱟ ᱾
131545842,"In addition, there is another league called 'Mamanet' that is organized through schools, especially for mothers of schoolchildren.","ᱚᱱᱟ ᱵᱮᱜᱚᱨ ᱦᱚᱸ, 'ᱢᱟᱢᱟᱱᱮᱴ' ᱧᱩᱛᱩᱢᱟᱱ ᱟᱨ ᱢᱤᱫᱴᱟᱝ ᱞᱤᱜᱽ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱠᱩᱞ ᱛᱟᱞᱟᱛᱮ ᱥᱟᱯᱲᱟᱜᱼᱟ, ᱠᱷᱟᱥ ᱠᱟᱨᱛᱮ ᱥᱠᱩᱞ ᱠᱩᱲᱤ ᱯᱟᱹᱴᱷᱩᱣᱟ ᱨᱮᱱ ᱮᱱᱜᱟᱛ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱾"
131555842,"In addition, these lower prices can cut into much needed profits.","ᱮᱱᱦᱚᱸ, ᱱᱚᱣᱟ ᱠᱚᱢ ᱫᱟᱢ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱞᱟᱵᱽᱨᱮ ᱟᱹᱭᱫᱟᱹᱨᱤᱭ ᱡᱟᱹᱨᱤ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
131565842,"In the home environment, this can be done through home automation powerline communications or IP protocols.","ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱞᱚᱭᱚᱝ ᱨᱮ, ᱱᱚᱶᱟ ᱦᱳᱢ ᱚᱴᱚᱢᱮᱥᱚᱱ ᱯᱟᱣᱟᱨ ᱞᱟᱭᱤᱱ ᱡᱳᱜᱟᱡᱳᱜ ᱥᱮ ᱟᱭᱯᱤ ᱯᱨᱳᱴᱳᱠᱚᱞ ᱛᱟᱞᱟᱛᱮ ᱠᱚᱨᱟᱣ ᱜᱟᱱᱚᱜᱼᱟ ᱾"
131575842,Check online to see what farm-to-table eateries are near you.,ᱚᱱᱞᱟᱭᱤᱱ ᱨᱮ ᱧᱮᱞ ᱢᱮ ᱟᱢᱟᱜ ᱟᱰᱮᱯᱟᱥᱮ ᱯᱷᱟᱢᱼᱴᱩᱼᱴᱮᱵᱤᱞ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱡᱚᱢᱟᱜ ᱴᱷᱟᱶ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131585842,"It has three pitch possibilities, namely Shuddha, Chatushruti, and Shatshruti.","ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱯᱟᱞᱮᱱ ᱯᱮᱭᱟ ᱨᱟᱦᱟ ᱛᱮᱨᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ, ᱟᱥᱚᱞᱨᱮ ᱱᱤᱨᱞᱟᱹ, ᱪᱚᱛᱩᱥᱨᱩᱨᱤ ᱟᱨ ᱥᱚᱛᱚᱥᱨᱩᱛᱤ ᱾"
131595842,"It is being called the Americans' biggest Olympic win since the 1980s ""Miracle on Ice"" victory over the former Soviet Union.","ᱢᱟᱨᱮᱱ ᱥᱳᱵᱷᱤᱭᱮᱛ ᱤᱭᱩᱱᱤᱭᱚᱱ ᱨᱮᱱᱟᱜ ᱵᱤᱨᱩᱫᱽᱨᱮ ᱑᱙᱘᱐ᱼᱨᱮᱱᱟᱜ ᱜᱮᱞᱟᱝᱨᱮ ""ᱤᱛᱤᱧ ᱫᱟᱜ ᱪᱮᱛᱟᱱ ᱵᱮᱼᱧᱮᱞᱟᱱ"" ᱡᱤᱛᱠᱟᱹᱨ ᱛᱟᱭᱚᱢ ᱱᱚᱶᱟ ᱫᱚ ᱟᱢᱮᱨᱤᱠᱟᱱ ᱠᱚᱣᱟᱜ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱢᱟᱨᱟᱝ ᱚᱞᱤᱢᱯᱤᱠ ᱡᱤᱛᱠᱟᱹᱨ ᱢᱮᱱ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾"
131605842,It is located in a deep green valley.,ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱮᱱ ᱜᱟᱹᱦᱤᱨ ᱦᱟᱹᱨᱭᱟᱹᱲ ᱵᱩᱨᱩ ᱫᱷᱟᱥᱱᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131615842,It is located in a deep green valley.,ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱮᱱ ᱜᱟᱹᱦᱤᱨ ᱦᱟᱹᱨᱭᱟᱹᱲ ᱵᱩᱨᱩ ᱫᱷᱟᱥᱱᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131625842,"It is located in the Civil Lines area in the northeast part of Kanpur city near the banks of the river Ganga, which flows just behind the stadium.",ᱱᱚᱶᱟ ᱫᱚ ᱥᱴᱮᱰᱤᱭᱟᱢ ᱨᱮᱭᱟᱜ ᱴᱷᱤᱠ ᱛᱟᱭᱚᱢ ᱨᱮ ᱞᱤᱸᱜᱤᱜ ᱠᱟᱱ ᱜᱚᱝᱜᱟ ᱱᱟᱹᱭ ᱟᱲᱮᱨᱮ ᱠᱟᱱᱯᱩᱨ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱩᱛᱛᱚᱨᱼᱯᱩᱨᱩᱵ ᱦᱤᱸᱥ ᱨᱮ ᱥᱤᱵᱷᱤᱞ ᱞᱟᱹᱭᱤᱱ ᱴᱚᱴᱷᱟ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131635842,It is located in the hill side valley of Vellarimala.,ᱵᱷᱮᱞᱞᱟᱨᱤᱢᱟᱞᱟ ᱵᱩᱨᱩ ᱥᱮᱱᱟᱜ ᱫᱷᱟᱥᱱᱟ ᱨᱮ ᱱᱚᱶᱟ ᱫᱚ ᱢᱮᱱᱟᱜᱼᱟ ᱾
131645842,It is possible that it is one of the oldest palaces in India.,ᱱᱚᱶᱟ ᱫᱚ ᱯᱟᱞᱮᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱᱟᱜ ᱜᱟᱲᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
131655842,It is possible that it is one of the oldest palaces in India.,ᱱᱚᱶᱟ ᱫᱚ ᱯᱟᱞᱮᱱ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱢᱟᱨᱮᱱᱟᱜ ᱜᱟᱲᱠᱚ ᱢᱩᱫᱽᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱾
131665842,File your official petition and the signatures you collected with the city clerk by the legal deadline for your petition.,ᱟᱢᱟᱜ ᱟᱨᱡᱤ ᱨᱮᱭᱟᱜ ᱟᱹᱭᱤᱱ ᱚᱠᱛᱚ ᱢᱩᱫᱨᱮ ᱟᱢᱟ ᱥᱚᱨᱠᱟᱨᱤ ᱟᱹᱨᱡᱤ ᱟᱨ ᱥᱟᱦᱟᱨ ᱨᱮ ᱢᱩᱦᱩᱨᱤ ᱠᱷᱚᱱ ᱦᱟᱛᱟᱣ ᱥᱚᱦᱤ ᱦᱟᱛᱟᱣ ᱢᱮ ᱾
131675842,Find events that apply to your specific industry.,ᱟᱢᱟᱜ ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱥᱤᱞᱯᱚ ᱦᱩᱱᱟᱹᱨ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱟᱠᱷᱲᱟ ᱛᱚᱞᱟᱥ ᱢᱮ ᱾
131685842,"Examinations include otoscopy, tympanometry, and differential testing with the Weber, Rinne, Bing and Schwabach tests.","ᱵᱤᱰᱟᱹᱣ ᱠᱚ ᱢᱩᱫᱽ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱳᱴᱳᱥᱠᱳᱯᱤ, ᱴᱤᱢᱯᱟᱱᱳᱢᱮᱴᱴᱨᱤ ᱟᱨ ᱳᱭᱮᱵᱟᱨ , ᱨᱤᱱᱮᱹ, ᱵᱤᱝ ᱟᱨ ᱥᱳᱣᱟᱵᱟᱠ ᱵᱤᱰᱟᱹᱣ ᱢᱤᱫ ᱵᱷᱮᱱᱮᱜᱟᱨ ᱟᱱᱟᱜ ᱢᱤᱫ ᱵᱤᱰᱟᱹᱣ ᱾"
131695842,"Except for the Raja of Rani, all paid an annual tribute.",ᱨᱟᱱᱤᱨᱮᱱ ᱨᱟᱡᱟ ᱵᱮᱜᱚᱨ ᱥᱟᱱᱟᱢ ᱠᱚᱜᱮ ᱥᱮᱨᱢᱟᱠᱤᱭᱟᱹ ᱠᱷᱟᱡᱽᱱᱟ ᱠᱚ ᱮᱢ ᱛᱟᱦᱮᱫ ᱾
131705842,Exclusive Interviews also make up a share of the articles on Wikinews.,ᱮᱠᱥᱠᱞᱩᱥᱤᱵᱷ ᱤᱱᱴᱟᱨᱵᱷᱤᱭᱩ ᱩᱭᱠᱤᱱᱤᱣᱩᱡᱽ ᱚᱞᱠᱚᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱦᱤᱥᱦᱚᱸ ᱛᱮᱭᱟᱨ ᱞᱮᱫᱟᱠᱚ ᱾
131715842,About 70 percent of the state is forested.,ᱯᱚᱱᱚᱛ ᱨᱮᱱᱟᱜ ᱚᱱᱢᱟᱱ ᱗᱐ ᱥᱟᱭᱠᱟᱲᱟ ᱴᱚᱴᱷᱟᱜᱮ ᱵᱤᱨᱵᱩᱨᱩ ᱮᱞᱟᱠᱟ ᱾
